"Дата начала отчетности","Дата окончания отчетности","Название группы объявлений","Показ группы объявлений",Ставка,"Тип ставки","Бюджет группы объявлений","Тип бюджета группы объявлений","Последняя существенная правка","Значение атрибуции",Результаты,"Индикатор результата",Охват,Показы,"Цена за результаты","Сумма затрат (RUB)",Конец,Начало
2021-06-16,2021-06-16,med_lent,not_delivering,0,ABSOLUTE_OCPM,"Используется бюджет кампании",0,2021-06-07T15:39:42+0300,"7 дней после клика или 1 день после просмотра",,,0,0,,0,Текущие,2021-04-16
2021-06-16,2021-06-16,inst_str,not_delivering,0,ABSOLUTE_OCPM,"Используется бюджет кампании",0,2021-06-07T15:38:52+0300,"7 дней после клика или 1 день после просмотра",,,0,0,,0,Текущие,2021-04-16
2021-06-16,2021-06-16,inst_metr,not_delivering,0,ABSOLUTE_OCPM,"Используется бюджет кампании",0,2021-06-07T15:36:44+0300,"7 дней после клика или 1 день после просмотра",,,0,0,,0,Текущие,2021-04-16
